Date,Open,High,Low,Close,Adj Close,Volume
2016-12-09,1015.710083,1020.905396,1016.475403,1018.156128,1018.156128,90519227
2016-12-10,1018.457825,1023.818665,1018.308899,1020.601379,1020.601379,70938284
2016-12-11,1020.735779,1020.796326,1008.430298,1010.656799,1010.656799,75252494
2016-12-12,1011.062500,1026.663574,1011.293518,1024.020142,1024.020142,100514752
2016-12-13,1024.755249,1034.459595,1020.530518,1024.948120,1024.948120,107208837
2016-12-14,1024.224609,1025.011963,1016.804565,1037.963135,1037.963135,100915308
2016-12-15,1036.088989,1043.997192,1036.965576,1037.502563,1037.502563,108778900
2016-12-16,1038.669312,1046.604614,1038.513550,1046.437988,1046.437988,111466452
2016-12-17,1046.783325,1056.572998,1046.380737,1054.333252,1054.333252,105309201
2016-12-18,1054.571899,1059.543335,1050.596313,1054.488037,1054.488037,80733497
2016-12-19,1054.704102,1062.803833,1053.417480,1062.474609,1062.474609,100370242
2016-12-20,1061.848633,1071.147095,1060.922607,1070.851318,1070.851318,133214332
2016-12-21,1070.541016,1120.272583,1068.085083,1120.272583,1120.272583,208907453
2016-12-22,1120.136841,1178.101929,1120.095215,1165.572754,1165.572754,269676412
2016-12-23,1166.041992,1251.960815,1165.671021,1247.720947,1247.720947,372920761
2016-12-24,1247.986206,1249.744141,1199.477173,1216.375854,1216.375854,186385960
2016-12-25,1217.499023,1217.499023,1167.118408,1211.370483,1211.370483,194191970
2016-12-26,1212.346558,1235.537964,1210.274170,1227.451782,1227.451782,167387900
2016-12-27,1228.458008,1273.389038,1224.361328,1266.816284,1266.816284,227120610
2016-12-28,1269.033081,1322.568115,1269.220093,1322.568115,1322.568115,320680976
2016-12-29,1321.489380,1326.201416,1288.578979,1312.176636,1312.176636,268663428
2016-12-30,1310.879883,1310.490845,1259.687500,1290.942627,1290.942627,251777582
2016-12-31,1290.122070,1294.306763,1272.137939,1294.306763,1294.306763,133138445
2017-01-01,1294.192749,1347.738281,1288.587280,1340.850342,1340.850342,198476613
2017-01-02,1341.242554,1384.228516,1337.873169,1373.334229,1373.334229,298638848
2017-01-03,1373.132568,1401.050903,1373.030396,1400.833252,1400.833252,248495456
2017-01-04,1401.584839,1542.724365,1402.107056,1535.675415,1535.675415,458743664
2017-01-05,1538.335205,1573.085693,1204.117554,1340.397705,1340.397705,674840228
2017-01-06,1341.535278,1387.546753,1172.463257,1193.882568,1193.882568,465637511
2017-01-07,1195.584351,1202.330566,1089.811646,1202.330566,1202.330566,369928536
2017-01-08,1201.787964,1247.506714,1174.096680,1206.427490,1206.427490,210138671
2017-01-09,1209.135132,1209.902954,1163.896729,1193.087158,1193.087158,187490445
2017-01-10,1192.574463,1209.279053,1190.480469,1202.220825,1202.220825,153387696
2017-01-11,1202.798340,1217.165283,1005.629395,1023.761536,1023.761536,409275832
2017-01-12,1020.366760,1085.935059,991.022827,1058.276245,1058.276245,292336457
2017-01-13,1056.833740,1086.903198,1026.873901,1080.325439,1080.325439,221533945
2017-01-14,1081.843750,1094.880005,1065.211060,1073.019897,1073.019897,122015287
2017-01-15,1072.666016,1079.437866,1065.755127,1078.692017,1078.692017,93212451
2017-01-16,1078.672363,1099.076050,1077.261841,1095.629150,1095.629150,109038252
2017-01-17,1094.854370,1187.735718,1094.739868,1185.857788,1185.857788,202569590
2017-01-18,1187.732056,1198.895996,1124.893188,1175.921387,1175.921387,299315394
2017-01-19,1178.198730,1204.493530,1173.251221,1197.565186,1197.565186,140692500
2017-01-20,1196.365112,1197.818237,1184.421753,1192.801147,1192.801147,115582939
2017-01-21,1193.498169,1235.901978,1193.479492,1228.468262,1228.468262,148140267
2017-01-22,1229.022583,1249.439575,1196.183594,1230.000000,1230.000000,155065405
2017-01-23,1231.098755,1235.522095,1218.161377,1219.235718,1219.235718,97416589
2017-01-24,1205.554199,1221.996948,1173.713013,1174.329712,1174.329712,146479610
2017-01-25,1173.326050,1185.879517,1172.746704,1178.044922,1178.044922,157889868
2017-01-26,1179.159546,1204.592896,1178.484985,1201.120117,1201.120117,172733022
2017-01-27,1202.131958,1210.622314,1200.765747,1209.103394,1209.103394,165105872
2017-01-28,1209.183472,1214.573364,1209.183472,1211.522217,1211.522217,90680582
2017-01-29,1212.149292,1213.925293,1207.208984,1207.114258,1207.114258,79886112
2017-01-30,1207.974243,1208.546753,1207.637207,1205.884521,1205.884521,102493403
2017-01-31,1206.640503,1267.901611,1206.456299,1265.308472,1265.308472,214598470
2017-02-01,1266.009888,1290.595947,1267.594849,1290.378296,1290.378296,195848517
2017-02-02,1291.654297,1318.994995,1279.072266,1317.970703,1317.970703,189946424
2017-02-03,1317.527832,1346.719116,1313.948975,1341.148804,1341.148804,262104212
2017-02-04,1342.997925,1361.971069,1321.941284,1358.064453,1358.064453,201924341
2017-02-05,1358.871826,1359.015015,1331.330200,1337.391113,1337.391113,148675974
2017-02-06,1338.771118,1359.390015,1338.664307,1358.315552,1358.315552,146229401
2017-02-07,1360.919189,1400.898071,1361.023193,1399.814453,1399.814453,192568643
2017-02-08,1401.093750,1421.327148,1366.685547,1397.511719,1397.511719,265358594
2017-02-09,1399.654541,1427.230225,1250.215332,1306.320923,1306.320923,534964914
2017-02-10,1307.961792,1312.161621,1244.898682,1292.987915,1292.987915,249073126
2017-02-11,1293.280762,1319.949463,1285.345093,1313.619751,1313.619751,133736936
2017-02-12,1312.403442,1314.025146,1303.773315,1310.725708,1310.725708,88585854
2017-02-13,1310.337402,1310.846924,1278.269897,1294.868164,1294.868164,131503410
2017-02-14,1296.296753,1320.627441,1287.245972,1313.850952,1313.850952,180419573
2017-02-15,1316.022095,1319.260132,1308.964966,1316.574829,1316.574829,117297584
2017-02-16,1316.796997,1347.927856,1317.099365,1343.275024,1343.275024,159864950
2017-02-17,1341.549316,1380.179321,1341.126831,1370.221191,1370.221191,178739998
2017-02-18,1374.150269,1389.722656,1371.203491,1380.973877,1380.973877,129756568
2017-02-19,1381.419189,1384.104126,1366.619507,1371.137939,1371.137939,101308383
2017-02-20,1372.210815,1416.090210,1363.259644,1415.097778,1415.097778,143449023
